Experiment,Model,Feature-Set,Test-Day,Train-Rows,Validation-Rows,Test-Rows,Chosen-Threshold,Tuned-Max-Features,Validation-Precision,Validation-Recall,Validation-F1,Accuracy,Precision,Recall,F1
Multi-Day-Threshold-Tuning,Logistic-Regression,All-Features,Friday,202096,100000,703245,0.49,,72.1685,98.7254,83.3835,74.8793,86.1679,46.2857,60.2225
Multi-Day-Threshold-Tuning,Random-Forest,All-Features,Friday,202096,100000,703245,0.02,0.2,77.0216,99.9921,87.0164,73.6186,81.6479,46.1632,58.9797
Multi-Day-Threshold-Tuning,Logistic-Regression,Reduced-Features,Friday,202096,100000,703245,0.49,,71.4073,98.7016,82.8647,74.7513,85.6597,46.2943,60.1052
Multi-Day-Threshold-Tuning,Random-Forest,Reduced-Features,Friday,202096,100000,703245,0.02,0.2,80.9304,99.9921,89.4571,74.1294,82.9256,46.6318,59.6951
Multi-Day-Threshold-Tuning,Logistic-Regression,All-Features,Monday,387788,100000,529918,0.34,,70.025,98.1021,81.7191,90.0186,0.0,0.0,0.0
Multi-Day-Threshold-Tuning,Random-Forest,All-Features,Monday,387788,100000,529918,0.01,0.2,72.7633,99.9959,84.2332,85.6295,0.0,0.0,0.0
Multi-Day-Threshold-Tuning,Logistic-Regression,Reduced-Features,Monday,387788,100000,529918,0.34,,70.035,98.1103,81.7288,89.9952,0.0,0.0,0.0
Multi-Day-Threshold-Tuning,Random-Forest,Reduced-Features,Monday,387788,100000,529918,0.01,0.2,71.1651,99.9959,83.1524,84.2157,0.0,0.0,0.0
Multi-Day-Threshold-Tuning,Logistic-Regression,All-Features,Thursday,374696,100000,458968,0.16,,70.3113,99.4321,82.3738,73.6574,0.1545,8.3032,0.3035
Multi-Day-Threshold-Tuning,Random-Forest,All-Features,Thursday,374696,100000,458968,0.02,sqrt,77.3374,99.9957,87.219,77.3209,2.0503,98.2852,4.0167
Multi-Day-Threshold-Tuning,Logistic-Regression,Reduced-Features,Thursday,374696,100000,458968,0.16,,70.1244,99.4491,82.2511,73.5446,0.1539,8.3032,0.3022
Multi-Day-Threshold-Tuning,Random-Forest,Reduced-Features,Thursday,374696,100000,458968,0.01,0.2,72.0324,99.9957,83.7413,74.1028,1.7841,97.3827,3.5039
Multi-Day-Threshold-Tuning,Logistic-Regression,All-Features,Tuesday,364844,100000,445909,0.32,,70.0358,98.6668,81.9218,87.9644,8.3868,29.0134,13.0122
Multi-Day-Threshold-Tuning,Random-Forest,All-Features,Tuesday,364844,100000,445909,0.02,log2,77.6926,99.9956,87.4444,79.9475,8.2513,53.9863,14.3147
Multi-Day-Threshold-Tuning,Logistic-Regression,Reduced-Features,Tuesday,364844,100000,445909,0.32,,70.0713,98.6493,81.94,87.9796,8.3987,29.0134,13.0265
Multi-Day-Threshold-Tuning,Random-Forest,Reduced-Features,Tuesday,364844,100000,445909,0.01,sqrt,71.7586,99.9956,83.5559,77.5095,10.0447,78.5472,17.8117
Multi-Day-Threshold-Tuning,Logistic-Regression,All-Features,Wednesday,228228,100000,692703,0.48,,70.2259,96.7821,81.3926,77.0596,84.3643,45.5508,59.1595
Multi-Day-Threshold-Tuning,Random-Forest,All-Features,Wednesday,228228,100000,692703,0.02,0.2,81.4982,99.993,89.8032,87.5899,88.9195,75.3696,81.5858
Multi-Day-Threshold-Tuning,Logistic-Regression,Reduced-Features,Wednesday,228228,100000,692703,0.49,,72.4514,96.7611,82.8601,77.5644,86.6096,45.5322,59.6862
Multi-Day-Threshold-Tuning,Random-Forest,Reduced-Features,Wednesday,228228,100000,692703,0.03,log2,74.7654,99.993,85.5583,86.5632,86.6617,74.6529,80.2103
