Experiment,Feature-Set,Model,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,252620,703245,74.9464,88.3492,44.9462,59.5814
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,252620,703245,70.3086,98.3758,28.1961,43.8298
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,252620,703245,74.9961,88.738,44.8292,59.5664
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,252620,703245,70.375,98.91,28.203,43.891
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Monday,484736,529918,93.0582,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Monday,484736,529918,99.8477,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Monday,484736,529918,93.1714,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Monday,484736,529918,99.8494,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,468368,458968,79.3508,0.027,1.1282,0.0527
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,468368,458968,99.1383,1.0692,0.8574,0.9517
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,468368,458968,79.4143,0.0271,1.1282,0.0529
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,468368,458968,99.149,1.3809,1.083,1.214
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,456056,445909,90.0874,10.4506,28.9989,15.3643
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,456056,445909,96.5219,0.3559,0.0434,0.0773
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,456056,445909,90.0803,10.4419,28.9989,15.3549
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,456056,445909,96.5423,1.2923,0.1518,0.2717
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,285284,692703,78.2143,90.0171,45.2979,60.268
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,285284,692703,63.8043,98.5022,0.7809,1.5494
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,285284,692703,78.0534,89.795,44.9405,59.9015
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,285284,692703,63.8058,98.5586,0.7848,1.5572
