Experiment,Feature-Set,Model,Train-Day,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Monday,500000,529918,99.1508,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Monday,500000,529918,99.9983,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,500000,458968,87.9545,0.0019,0.0451,0.0036
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,500000,458968,92.4999,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Tuesday,500000,445909,95.7814,0.3789,0.1373,0.2016
Single-Day-Transfer,All-features,Random-Forest,Friday,Tuesday,500000,445909,96.8956,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,500000,692703,75.0506,94.8856,33.4014,49.4097
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,500000,692703,63.8467,99.2948,0.8917,1.7675
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Monday,500000,529918,98.8981,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Monday,500000,529918,99.9979,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,500000,458968,87.7952,0.0019,0.0451,0.0036
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,500000,458968,92.4966,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Tuesday,500000,445909,95.5612,0.3169,0.1373,0.1916
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Tuesday,500000,445909,96.8953,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Wednesday,500000,692703,75.9129,94.2599,36.1674,52.2765
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Wednesday,500000,692703,63.8575,99.2754,0.9217,1.8265
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Friday,8864,703245,66.4899,76.7698,26.4347,39.3275
Single-Day-Transfer,All-features,Random-Forest,Thursday,Friday,8864,703245,57.6476,1.8362,0.0588,0.114
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Monday,8864,529918,96.5346,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Thursday,Monday,8864,529918,99.9134,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Tuesday,8864,445909,95.702,39.1799,69.7506,50.1755
Single-Day-Transfer,All-features,Random-Forest,Thursday,Tuesday,8864,445909,97.3627,78.5734,20.6216,32.6692
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Wednesday,8864,692703,63.1311,46.473,7.0922,12.3063
Single-Day-Transfer,All-features,Random-Forest,Thursday,Wednesday,8864,692703,63.6514,77.6942,0.4908,0.9753
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Friday,8864,703245,66.4899,76.7698,26.4347,39.3275
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Friday,8864,703245,57.6758,3.528,0.1146,0.2219
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Monday,8864,529918,96.5346,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Monday,8864,529918,99.903,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Tuesday,8864,445909,95.702,39.1799,69.7506,50.1755
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Tuesday,8864,445909,97.3472,77.1228,20.6144,32.5329
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Wednesday,8864,692703,63.1311,46.473,7.0922,12.3063
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Wednesday,8864,692703,63.683,81.7136,0.5624,1.1171
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Friday,55340,703245,66.2227,90.3053,19.9243,32.6459
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Friday,55340,703245,58.9203,62.6984,0.0273,0.0547
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Monday,55340,529918,98.4226,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Monday,55340,529918,99.9875,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Thursday,55340,458968,94.2192,0.7614,8.4838,1.3974
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Thursday,55340,458968,99.5091,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Wednesday,55340,692703,66.7163,76.548,12.6183,21.6653
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,55340,692703,63.5145,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Friday,55340,703245,66.2227,90.3053,19.9243,32.6459
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Friday,55340,703245,58.9513,94.6429,0.0917,0.1833
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Monday,55340,529918,98.4226,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Monday,55340,529918,99.9955,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,55340,458968,94.2192,0.7614,8.4838,1.3974
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,55340,458968,99.5124,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,55340,692703,66.7163,76.548,12.6183,21.6653
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,55340,692703,63.5226,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,500000,703245,69.6518,92.5439,28.4218,43.4877
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,500000,703245,70.3089,98.3945,28.1912,43.8259
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Monday,500000,529918,97.7598,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Monday,500000,529918,99.8583,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9513,0.3042,0.9928,0.4658
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,500000,458968,99.3721,2.9661,0.9477,1.4364
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.6762,29.6874,28.7604,29.2165
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8749,0.0876,0.0289,0.0435
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Friday,500000,703245,69.7647,92.8263,28.6184,43.7489
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Friday,500000,703245,70.3433,98.6748,28.1937,43.8565
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Monday,500000,529918,98.0869,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Monday,500000,529918,99.8894,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9744,0.3227,1.0379,0.4923
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Thursday,500000,458968,99.4045,4.0853,1.0379,1.6553
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.6718,29.634,28.7387,29.1795
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8938,0.0892,0.0289,0.0437
